,ECA2_0019_01.a_p1,ECA2_0019_02.a_p1,ECA2_0019_04.a_p1,ECA2_0019_05.a_p1,ECA2_0019_07.a_p1,ECA2_0019_08.a_p1,ECA2_0019_09.a_p1,ECA2_0019_10.a_p1
357.025157978381,0,0,0,0,0,1,0,0
357.046380027556,0,0,1,1,1,1,1,0
357.061639132,0,0,1,0,0,0,0,0
357.214251336409,1,1,1,0,1,1,0,1
358.150901758438,0,0,0,0,0,0,0,1
358.198353257738,1,1,1,1,1,1,1,1
359.040827605703,0,0,0,0,0,1,0,0
359.061939001258,1,1,1,1,1,1,1,1
359.075015225637,1,1,1,0,1,1,1,1
359.088641649665,0,0,0,0,1,0,1,1
359.193602610788,1,0,1,0,1,0,0,1
359.990579441568,0,0,0,0,0,0,0,1
360.17765654334,1,0,1,1,1,1,1,1
361.03141416872,0,0,1,1,1,1,1,1
361.056450883082,1,1,1,1,0,1,0,0
361.092917492873,1,1,1,0,1,1,1,0
361.120976935118,0,0,0,0,1,0,0,0
361.129228263743,1,1,0,0,0,1,0,0
361.165636188115,1,1,1,0,0,0,0,0
363.03578042413,1,1,1,1,1,1,1,1
363.072081802094,1,0,1,1,1,1,0,0
363.10858231203,1,1,1,1,0,1,0,1
364.20076978619,1,1,0,0,0,1,0,0
365.014999350136,0,0,0,0,1,0,0,0
365.02794262334,0,0,0,0,0,1,0,0
365.051447751813,1,1,1,1,1,1,1,0
365.087779048533,0,1,1,1,1,1,1,1
365.098181277068,0,0,0,0,0,0,1,0
365.099174259668,0,1,0,0,0,0,0,0
366.180116546856,1,1,1,1,1,1,1,1
367.029280400029,1,1,0,0,0,0,1,0
367.030630584968,1,0,1,1,1,1,1,0
367.06706934349,1,1,1,1,1,1,1,1
369.046310964264,1,1,1,1,1,1,1,1
370.077967055023,0,1,0,0,0,0,1,0
370.130606874783,0,0,0,1,0,1,0,0
371.025611478681,0,0,0,1,0,0,0,0
371.025928683852,1,0,0,0,0,0,0,0
371.040880248302,0,0,0,0,0,1,0,0
371.061971237483,1,1,1,1,1,1,1,1
371.090292370366,1,1,0,0,0,0,0,0
371.11361936982,0,0,0,0,0,0,1,0
371.193562335852,0,1,0,0,0,0,1,0
371.197030746434,1,0,1,1,1,0,1,0
371.229951513963,0,0,0,0,0,1,0,0
372.1946637148,0,0,1,0,0,0,0,0
372.21396446099,1,1,1,1,1,1,1,1
373.020100526779,0,0,0,0,1,1,0,0
373.033164057225,0,0,0,0,0,0,1,0
373.041248932347,0,0,1,1,0,1,0,0
373.092863986741,1,0,0,0,0,0,0,0
373.172856160813,1,1,1,1,1,1,1,1
373.194086653009,0,0,0,1,0,0,1,0
373.23853368319,0,0,0,0,0,1,0,0
374.105285744607,0,0,1,0,0,0,0,0
374.156843108666,0,1,0,0,1,0,1,0
375.035730095859,1,0,1,0,0,1,0,0
375.056852029369,0,0,1,1,0,0,0,0
375.07214128479,1,1,1,1,1,1,1,1
375.08118334103,0,0,0,1,0,0,0,0
375.106310669646,1,0,0,0,0,0,0,0
375.144928848733,1,1,0,0,0,1,0,0
375.181292203292,0,0,1,0,0,0,0,0
375.217706396629,1,0,0,0,0,0,0,0
376.103208105994,0,0,1,0,0,0,0,0
377.051396445684,1,1,1,1,1,1,0,0
377.087803190623,1,1,1,1,1,1,1,1
377.109116850325,0,0,0,0,0,0,1,0
377.12417426497,1,1,1,1,0,1,0,1
377.196945440299,0,1,0,0,0,0,0,0
377.233358059072,0,0,0,0,1,0,0,0
378.119416926561,0,0,0,0,0,1,0,0
378.167042044128,0,0,0,1,0,0,0,0
378.216503667,1,1,1,0,1,1,0,1
379.004049955492,0,0,0,0,0,1,0,0
379.02019101545,0,0,0,0,1,0,0,0
379.030686112247,1,1,1,1,1,1,1,1
379.043747718356,0,0,0,0,0,1,0,0
379.067076004777,1,1,1,1,1,1,1,1
379.103451701591,1,1,1,1,1,1,1,1
380.098706774837,1,0,0,0,0,0,1,0
380.195742975484,1,1,0,0,0,1,0,1
381.044988543549,1,0,0,0,0,0,0,1
381.04633893879,1,1,1,1,1,1,1,1
381.147430924684,0,0,0,0,0,0,1,0
381.231803350656,0,0,0,1,0,0,0,0
382.100423454432,0,0,1,0,1,1,0,1
383.025617753596,0,0,1,1,1,1,1,0
383.061973823269,1,1,1,1,1,1,1,1
383.176408413916,0,0,0,0,0,1,0,0
383.272190776368,0,1,0,0,0,0,0,0
385.041247297459,1,1,1,1,1,1,1,1
385.092903606989,0,0,1,0,0,0,0,0
385.125235444133,0,1,0,0,0,0,0,0
385.176324028226,1,0,1,1,1,1,1,0
385.209244802773,1,0,0,0,0,1,0,0
386.938784698101,0,0,0,0,1,0,1,1
387.020522108053,0,0,0,1,0,0,0,0
387.035782330147,0,0,1,0,0,1,0,0
387.05692392994,1,1,1,1,1,1,1,1
387.108537109246,1,0,0,0,0,0,0,0
387.144925934392,1,0,0,0,0,0,0,0
387.17334317284,0,0,0,0,1,0,0,0
387.188485459668,1,1,1,1,1,0,1,1
387.191949641051,1,0,1,1,1,0,1,1
387.224879236409,0,0,1,0,0,1,0,0
387.254018624291,0,0,0,0,0,1,0,0
388.172501812849,0,0,1,0,1,0,1,1
389.015030630069,0,0,0,0,0,1,0,0
389.051460675204,1,1,1,1,1,1,0,1
389.072535459714,1,0,1,1,1,1,0,0
389.087797436197,1,1,1,1,0,0,0,0
389.12199764657,0,0,0,0,0,0,1,0
389.124212180512,1,1,1,0,0,1,1,0
389.160577607689,0,0,1,0,0,1,0,0
389.189008449217,1,0,0,1,1,0,1,0
390.107404638579,0,1,0,0,0,0,0,0
391.030658021836,1,0,1,1,1,1,0,0
391.067072181836,1,0,1,1,1,1,1,1
391.088192582606,1,0,0,0,0,0,0,0
391.103438396276,1,1,1,1,0,1,1,1
391.212588728176,0,1,0,0,0,0,0,0
392.083757517328,0,0,0,0,0,1,0,0
392.105387784605,0,1,0,0,0,0,0,0
392.210702390393,0,0,0,0,0,1,0,0
393.046321803348,1,1,1,1,1,1,1,1
393.05935778138,0,0,0,0,0,1,0,0
393.082686187308,1,1,1,1,1,1,1,1
393.190982440552,0,0,1,0,1,0,0,0
394.174992173512,0,0,0,1,0,0,0,0
394.195984114948,0,0,0,1,0,0,1,0
395.025553889637,0,0,1,1,1,1,0,0
395.025785278692,0,0,0,0,0,0,1,0
395.061963644418,1,1,1,1,1,1,1,1
395.12667674729,0,0,0,0,0,0,1,0
395.222729388366,0,0,1,0,0,0,0,0
396.961956723997,0,0,0,1,0,0,0,0
397.029149649705,1,1,1,1,1,0,1,1
397.041265486201,1,1,1,1,1,1,1,1
397.056500648576,0,0,0,0,0,1,0,0
397.215076554878,0,0,1,0,0,1,0,0
397.245606263579,1,0,0,0,0,0,0,0
398.988900287932,0,0,0,0,0,1,0,0
399.035808130185,0,0,0,0,0,1,0,0
399.05689320288,1,1,1,1,1,1,1,1
399.14094160816,0,1,0,0,0,0,0,0
399.217693552083,0,0,0,0,0,1,0,0
399.230723276713,1,0,1,0,0,1,0,0
401.036083857302,0,0,0,1,0,0,0,0
401.036356491485,0,0,1,0,0,0,0,0
401.051390989383,0,0,0,0,1,1,0,0
401.060724228316,0,0,0,0,0,1,0,0
401.072530312219,1,1,1,1,1,1,1,1
401.124177379548,1,0,0,0,0,1,0,0
401.171278220127,1,0,1,1,1,0,0,0
401.204140080444,1,1,1,1,1,1,1,1
401.233340195639,0,0,0,0,0,1,0,0
402.199371861089,0,1,0,0,0,0,0,0
403.030707164804,0,0,1,1,1,1,0,0
403.051806795172,0,0,1,1,1,0,0,0
403.067062072702,1,0,1,1,0,0,1,0
403.067358031385,0,1,0,0,0,1,0,0
403.103422043992,1,0,1,1,0,0,1,0
403.121370890149,0,0,0,0,0,1,0,0
403.139842015822,1,0,1,0,0,0,0,0
403.183382504284,1,1,0,1,1,1,1,1
403.219752644077,1,0,0,0,0,0,0,0
404.940198008835,0,0,0,0,0,1,0,0
405.046340646475,1,1,1,1,1,1,1,0
405.082718505381,1,1,1,1,1,1,1,0
405.11909766238,1,1,1,1,1,1,1,1
405.155524006246,1,0,1,0,0,1,0,1
405.183840883554,1,0,0,0,0,0,0,0
405.19186350397,1,1,1,0,0,0,0,0
405.228257422227,0,0,0,0,0,1,0,0
405.314048487332,0,1,0,0,0,0,0,0
407.025605080093,1,1,1,1,1,1,1,0
407.061933456416,1,1,1,1,0,1,1,1
407.062155863866,0,0,0,0,1,0,0,0
407.090327899252,0,0,0,0,0,0,1,0
407.098352639308,1,1,1,1,1,1,1,1
