,ECA2_0006_01.a_p1,ECA2_0006_02.a_p1,ECA2_0006_03.a_p1,ECA2_0006_04.a_p1,ECA2_0006_05.a_p1,ECA2_0006_06.a_p1,ECA2_0006_07.a_p1,ECA2_0006_09.a_p1,ECA2_0006_10.a_p1
311.097158214223,0,0,1,0,0,0,0,0,0
311.13223291676,0,1,0,0,0,0,0,0,0
312.072550046252,1,1,0,1,1,1,1,1,1
312.156539367202,1,1,0,1,0,0,0,0,1
312.192874415847,0,0,0,0,0,0,1,0,1
313.020089602638,1,1,0,1,1,1,1,1,1
313.035411054317,1,0,0,1,1,1,1,1,1
313.038791462238,0,1,0,0,0,1,0,0,0
313.046082314169,0,0,0,0,0,0,0,0,1
313.056500859105,1,0,1,1,1,1,1,1,1
313.062881918307,0,1,0,0,0,1,0,0,0
313.06951459798,1,1,1,1,1,1,0,0,0
313.071784263219,1,0,0,1,1,0,0,1,1
313.089018054014,0,0,0,0,0,0,1,0,0
313.111506400148,0,1,0,0,0,0,0,0,0
313.132692507958,1,0,0,0,0,0,0,0,0
313.140486079839,1,0,0,0,0,0,0,0,0
313.147853219841,0,1,0,0,0,0,0,0,0
313.172915189152,0,1,0,0,0,0,0,0,0
313.176899747238,0,0,0,1,0,0,0,0,1
314.051789564094,0,0,0,1,1,0,0,0,0
314.099416062541,1,0,0,0,0,0,0,0,0
314.135731582879,1,1,0,1,1,0,1,1,1
314.172095976387,1,1,0,1,1,1,1,1,1
314.208478741839,0,0,0,1,1,1,1,1,1
315.014674019742,1,1,0,1,1,1,1,1,1
315.035765556434,1,1,0,1,1,1,1,1,1
315.042833803436,0,0,0,0,0,0,0,1,0
315.051086379127,1,1,0,1,1,1,1,1,1
315.054460350125,0,0,0,1,0,0,0,0,0
315.05776262957,0,1,0,0,0,1,0,0,0
315.087459716489,1,1,0,1,1,1,1,1,1
315.11975652484,1,0,0,0,1,0,1,0,1
315.123794914824,1,0,0,0,1,0,0,0,0
315.15610786157,1,0,0,0,0,0,1,0,1
315.167365960132,1,1,0,1,1,1,0,1,1
315.196537048815,0,1,0,0,0,0,0,0,0
316.067365306295,1,0,0,0,1,0,0,0,0
316.114988210583,1,0,0,0,1,0,1,0,1
316.151388768487,1,1,1,1,1,1,1,1,1
316.187805194354,1,1,0,1,1,1,1,1,1
316.993871388018,0,0,0,0,0,0,0,1,0
317.030261218142,1,1,1,1,1,1,1,1,1
317.040573855564,0,0,0,0,0,0,0,1,0
317.051456086289,1,1,0,1,1,1,1,1,1
317.066687796083,1,1,0,1,1,1,1,1,1
317.099069346302,1,1,0,0,0,0,1,0,1
317.103096216893,1,1,0,1,1,1,1,1,1
317.175811803526,0,0,0,1,0,0,0,0,1
317.212167373557,1,1,0,0,0,0,0,0,1
317.233373541543,1,0,0,1,1,1,1,1,1
318.062926110868,0,0,1,0,0,0,0,0,0
318.101720821166,0,1,0,0,0,0,0,0,0
318.167103725047,1,1,0,1,1,1,1,1,1
319.009596531152,1,1,0,1,1,1,1,1,1
319.045941232075,1,1,0,1,1,1,1,1,1
319.049332300098,0,1,0,0,0,0,0,0,0
319.05718585801,0,0,0,0,1,0,0,0,0
319.082295876229,1,1,1,1,1,1,1,1,1
319.085647606549,0,0,0,1,0,1,0,0,0
319.093567248856,0,0,1,0,0,0,0,0,0
319.096961005433,1,1,0,0,0,0,0,0,1
319.118690232607,1,1,0,1,1,1,1,1,1
319.122061710318,1,0,1,0,0,0,1,0,0
319.151081925752,0,0,0,0,0,0,0,0,1
319.19154797824,1,1,0,0,0,0,0,0,0
319.212583970764,0,0,0,0,1,0,0,0,0
319.227874579288,0,1,0,0,0,0,0,0,0
320.041198944159,0,0,0,0,1,1,0,0,0
320.059960837832,0,0,1,0,0,0,0,0,0
320.07753794792,0,0,0,0,1,0,0,0,0
320.117280428013,0,1,0,0,0,0,0,0,0
321.025154726554,1,1,1,1,1,1,1,1,1
321.061551978378,1,1,1,1,1,1,1,1,1
321.072788932209,0,0,1,0,1,0,1,0,0
321.082701125213,0,1,0,1,1,1,1,1,0
321.097982635803,1,1,1,1,1,1,1,1,1
321.101343113687,0,0,1,0,0,0,0,0,0
321.109186754614,0,0,0,0,1,0,0,0,0
321.137756545737,1,1,1,1,1,1,1,1,1
321.174131092406,0,1,0,0,0,0,0,0,0
321.207101793451,0,1,0,0,0,0,0,0,0
322.072020109146,0,1,0,0,0,0,0,0,0
322.09321764639,0,1,0,1,1,0,1,1,1
322.140827819108,0,0,0,1,1,0,0,0,0
322.165952642304,1,0,0,0,0,0,0,0,0
322.187167160996,1,1,1,1,1,1,1,1,1
323.004428911665,1,1,0,1,1,1,1,1,1
323.040869446973,1,1,1,1,1,1,1,1,1
323.056042906623,0,0,0,0,0,0,0,1,0
323.080668631531,1,0,1,0,0,1,0,0,0
323.0884668866,0,1,0,0,1,0,0,1,0
323.098309067782,1,0,0,1,0,1,0,0,0
323.117036868633,1,0,1,0,0,0,1,0,0
323.134729600681,1,1,1,1,1,1,1,0,0
323.141898846552,1,1,0,0,0,0,0,0,0
323.153345605961,1,1,0,0,0,0,0,1,1
323.16866461507,0,1,0,0,0,0,0,0,0
323.222792995701,1,1,0,0,0,0,0,0,0
324.036066543692,0,0,0,0,1,1,1,0,0
324.072481239561,1,0,0,1,1,1,1,1,1
324.133154679663,1,0,0,1,1,1,1,1,1
325.020080061909,1,1,1,1,1,1,1,1,1
325.035348450427,0,0,0,0,1,1,1,1,0
325.056517335562,1,1,1,1,1,1,1,1,1
325.06774210194,0,0,0,0,1,0,0,0,0
325.071724012524,1,0,0,1,0,0,0,1,0
325.107458057054,0,0,0,0,0,0,0,0,1
325.114039327796,0,0,0,1,0,0,0,0,0
