,ECA2_0023_01.a_p1,ECA2_0023_02.a_p1,ECA2_0023_03.a_p1,ECA2_0023_05.a_p1,ECA2_0023_08.a_p1,ECA2_0023_09.a_p1,ECA2_0023_10.a_p15
384.146249112676,0,0,0,0,1,1,1
384.179384954068,0,0,0,0,0,1,0
385.04609914569,0,0,0,0,0,0,1
385.090675567781,0,1,0,0,0,1,0
385.092903606989,0,0,0,0,1,1,0
385.117304174667,0,0,1,0,0,0,0
385.129225024818,0,0,0,0,0,1,0
385.169080911481,0,0,0,0,0,0,1
385.176324028226,1,0,1,1,1,0,1
386.938784698101,1,1,1,1,0,0,0
387.035782330147,0,1,0,0,0,1,0
387.05692392994,0,0,0,0,1,0,0
387.072164506515,0,1,0,0,0,1,0
387.09724637405,0,0,0,1,0,0,1
387.106308535077,0,1,0,0,0,1,0
387.108537109246,0,1,0,0,0,1,0
387.144925934392,0,0,0,0,0,1,0
387.17334317284,1,0,0,1,0,0,0
387.188485459668,0,1,1,1,1,1,0
387.191949641051,1,0,1,1,1,1,1
388.172501812849,1,1,1,1,1,1,0
389.051460675204,1,1,1,0,1,1,0
389.087797436197,0,1,0,1,1,1,0
389.12199764657,0,1,0,0,0,1,0
389.124212180512,1,1,0,1,1,1,0
389.160577607689,0,0,0,0,0,1,0
389.189008449217,0,0,0,1,0,0,0
391.013000709981,0,0,0,0,0,0,1
391.067072181836,0,1,1,0,1,1,0
391.101235744286,1,0,0,0,1,0,0
391.103438396276,1,1,1,1,1,1,0
391.114161624762,1,0,0,0,0,0,0
392.988940513938,0,0,0,0,0,0,1
393.010135408385,0,0,0,0,0,0,1
393.019393390624,0,0,0,1,0,0,1
393.046321803348,0,0,0,0,1,1,0
393.082686187308,1,1,1,1,1,1,1
395.01505958222,0,0,0,0,0,0,1
395.061963644418,1,1,1,0,1,1,0
395.12667674729,0,1,0,0,0,0,0
397.029149649705,1,1,1,1,1,1,0
397.041265486201,0,0,0,0,0,1,0
397.080943385737,0,0,1,0,0,0,0
397.178689726966,1,0,0,0,1,0,0
398.015356719107,0,0,0,0,0,0,1
399.05689320288,0,0,0,0,1,1,0
399.085232204813,1,1,0,0,0,1,0
399.096617652238,0,0,1,0,0,0,0
400.954450395906,1,0,0,0,0,0,0
401.015993860058,0,0,0,1,0,0,0
401.023548078631,0,1,0,0,0,0,0
401.072530312219,0,0,0,0,1,1,0
401.087773156696,0,0,1,0,1,1,0
401.124177379548,0,0,1,1,0,1,0
401.178995096748,1,1,0,1,0,0,0
401.204140080444,0,1,1,0,0,1,0
401.319180641086,0,0,0,0,1,0,0
403.067062072702,0,0,1,0,0,0,0
403.103422043992,1,1,1,1,1,1,0
403.121370890149,0,0,1,0,0,0,0
403.137601432757,0,1,0,0,0,0,0
403.139842015822,0,1,0,0,1,1,0
