,ECA2_0038_01.a_p1,ECA2_0038_02.b_p1,ECA2_0038_03.a_p1,ECA2_0038_04.a_p1,ECA2_0038_05.a_p1,ECA2_0038_06.a_p1,ECA2_0038_07.a_p1,ECA2_0038_08.a_p1,ECA2_0038_09.a_p1,ECA2_0038_10.a_p1
363.10858231203,1,1,1,1,1,1,1,1,1,1
363.221035679529,0,0,0,1,0,1,0,1,0,0
364.067358096948,1,1,0,0,0,0,0,1,0,0
364.070277823938,0,0,0,0,1,1,0,0,0,1
364.10386330536,0,0,0,0,0,0,1,0,0,0
364.234144872095,0,0,1,0,0,0,0,0,0,0
365.014999350136,1,1,1,1,1,1,1,1,0,0
365.051447751813,1,1,1,1,1,1,1,1,1,1
365.054813548728,0,0,1,0,0,0,0,0,0,0
365.087779048533,1,1,1,1,1,1,1,1,1,1
366.04667879371,0,0,0,0,0,0,1,0,0,0
366.049601592309,0,0,0,0,1,0,0,0,0,0
366.083006492122,0,0,1,1,1,0,0,0,0,0
367.029280400029,0,0,0,0,0,0,0,0,0,1
367.030630584968,1,1,1,1,1,1,1,1,1,1
367.045885767368,0,0,0,1,0,0,0,1,0,0
367.06706934349,1,1,1,1,1,1,1,1,1,1
367.21599116063,0,1,0,0,0,0,1,0,1,1
367.227836742927,0,0,0,0,0,0,0,1,0,0
367.285412134276,0,0,0,1,1,1,0,0,0,0
368.062279069239,0,0,0,0,0,0,0,1,0,0
368.968822384919,0,0,0,1,0,0,0,0,0,0
369.009950139289,0,0,0,0,0,0,0,1,0,0
369.025206742976,1,1,1,0,0,0,1,1,0,1
369.03579496506,1,0,0,0,0,0,0,0,0,0
369.046310964264,1,1,1,1,1,1,1,1,1,1
369.061598175475,0,1,0,1,1,1,1,1,1,0
369.072212276688,1,0,0,0,0,1,0,1,0,0
369.174090217447,1,0,1,1,0,0,0,0,0,1
369.300970410102,1,1,0,1,0,1,1,1,1,1
369.337434499507,0,0,0,0,0,1,0,1,0,0
370.077967055023,0,1,0,0,0,0,0,0,0,0
370.130606874783,0,0,1,0,0,0,0,0,0,0
371.025611478681,1,1,1,1,1,1,1,1,0,1
371.040880248302,1,1,1,1,1,1,1,1,1,0
371.051483688559,0,1,0,1,0,0,0,0,0,0
371.061971237483,1,1,1,1,1,1,1,1,1,1
371.077218054152,1,0,0,0,0,1,1,1,0,0
371.090292370366,1,1,0,1,0,1,1,1,1,1
371.11361936982,1,0,0,0,0,0,0,0,0,0
371.15332141602,0,0,1,0,0,0,0,0,0,1
371.189744666485,0,0,0,0,0,0,0,0,0,1
371.951021134869,0,0,0,0,0,0,0,0,0,1
372.072449298811,0,0,0,0,1,0,0,0,0,0
372.151458180708,0,0,0,1,0,0,0,0,0,0
372.1946637148,0,0,0,1,0,0,0,0,0,0
372.21396446099,1,1,0,1,1,1,1,1,1,1
373.010055200556,0,0,0,0,0,0,1,0,0,0
373.020100526779,1,1,1,1,1,1,1,1,1,0
373.041248932347,1,1,1,1,1,1,1,1,0,1
373.056476136202,1,1,1,1,1,1,1,1,1,1
373.069513595637,1,1,0,1,0,1,0,1,0,0
373.092863986741,1,1,0,1,1,1,1,1,1,0
373.129236898477,0,1,1,1,0,0,1,1,1,0
373.147632231838,0,0,1,0,0,0,0,0,0,0
373.165624489225,0,1,0,0,0,0,0,0,0,0
373.172856160813,0,0,0,0,0,0,0,0,1,1
374.105285744607,0,0,0,0,1,1,0,0,0,0
374.156843108666,0,0,0,0,0,0,0,0,0,1
374.999547213639,0,1,0,1,1,0,1,0,0,0
374.999774170495,1,0,0,0,0,0,0,0,0,0
375.035730095859,1,1,1,1,1,1,1,1,1,1
375.056852029369,1,1,0,1,1,1,1,1,0,0
375.07214128479,1,1,1,1,1,1,1,1,1,1
375.142662210268,0,0,0,0,0,0,0,1,0,0
375.144928848733,1,1,1,1,1,1,0,1,1,1
375.181292203292,0,0,0,0,1,0,0,0,1,1
376.103208105994,0,0,0,0,1,0,0,0,0,0
376.216283240772,1,0,0,0,0,0,0,0,0,0
376.252747987353,0,0,0,0,0,0,0,1,0,0
377.015073251635,1,1,1,1,1,1,1,1,0,1
377.051396445684,1,1,1,1,1,1,1,1,1,1
377.061980617232,0,0,1,0,0,0,0,0,0,0
377.072546760135,0,0,0,0,1,0,0,0,0,0
377.087803190623,1,1,1,1,1,1,1,1,1,1
377.12417426497,1,1,1,1,1,1,1,1,1,1
377.282724515078,0,1,0,0,0,1,0,1,0,0
378.231959582132,1,0,0,0,0,0,0,0,0,0
379.030686112247,1,1,1,1,1,1,1,1,1,1
379.034048271689,0,0,0,0,0,0,0,0,1,0
379.067076004777,1,1,1,1,1,1,1,1,1,1
379.103451701591,1,1,1,1,1,1,1,1,1,1
380.062333798109,0,0,0,0,0,0,0,1,0,0
381.009899860409,1,1,0,0,1,1,0,0,0,0
381.044988543549,0,0,0,0,0,0,1,1,1,1
381.04633893879,1,1,1,1,1,1,1,1,1,1
381.05938916193,0,0,0,1,0,0,0,0,0,0
381.061628619081,0,0,0,1,0,0,0,0,0,0
382.077997977155,1,0,0,1,0,0,0,1,0,0
382.100423454432,0,0,0,0,0,0,0,0,0,1
382.984470584495,0,0,0,0,0,0,1,0,0,0
383.025617753596,1,1,1,1,1,1,1,1,1,1
383.04086489292,1,1,0,1,0,0,1,1,0,0
383.041177787259,0,0,0,0,0,1,0,0,0,0
383.042192027502,0,0,0,0,0,0,0,0,0,1
383.051492681291,0,0,1,1,0,0,0,1,0,0
383.061973823269,1,1,1,1,1,1,1,1,1,1
383.087841711599,0,0,0,0,1,0,0,0,0,0
383.12670158935,1,1,0,1,0,1,1,1,1,0
383.316604562669,0,0,0,1,0,0,1,1,0,0
383.353024768427,1,1,0,1,0,1,1,1,1,1
384.051485512415,0,0,0,0,1,0,0,0,0,0
384.057274292347,0,1,0,0,0,0,0,0,0,0
384.179384954068,0,0,0,0,0,0,0,0,0,1
385.020158329479,1,1,1,1,1,1,1,1,0,1
385.041247297459,1,1,1,1,1,1,1,1,1,1
385.049991917333,0,0,0,1,0,0,0,0,0,0
385.056500330622,1,1,1,1,1,1,1,1,0,0
385.092903606989,0,0,0,1,0,0,1,1,0,0
385.129225024818,0,0,0,1,0,0,0,0,0,0
385.169080911481,0,0,0,0,0,0,0,0,0,1
385.176324028226,0,0,1,0,0,0,0,0,1,0
385.238447508571,0,0,0,0,0,0,0,1,0,0
386.051755990902,0,1,0,0,0,0,0,0,0,0
386.938784698101,0,0,1,0,0,0,0,0,0,0
386.999369561712,0,0,0,0,0,0,0,1,0,0
387.020522108053,0,1,0,0,0,0,0,0,0,0
387.035782330147,1,1,1,1,1,1,1,1,1,1
387.05692392994,1,1,1,1,1,1,1,1,1,1
387.072164506515,1,1,1,1,1,1,1,1,1,0
387.108537109246,1,1,0,1,0,1,1,1,1,0
387.144925934392,0,1,0,1,0,0,0,1,0,0
387.17334317284,0,0,1,0,0,0,0,0,0,0
387.188485459668,0,0,0,0,0,0,0,0,1,0
387.191949641051,1,0,1,0,0,0,0,0,1,1
387.217656879975,0,0,0,0,0,0,0,1,0,0
388.031006807684,0,0,0,1,0,0,0,0,0,0
388.067401602666,0,0,0,0,0,0,0,1,0,0
388.172501812849,0,0,0,0,0,0,0,0,1,0
389.015030630069,1,1,1,1,1,1,1,1,0,1
389.036187118955,0,0,0,1,0,0,0,0,0,0
389.051460675204,1,1,1,1,1,1,1,1,1,1
389.064479619368,1,1,0,1,0,0,0,0,0,0
389.066657022008,0,0,1,0,0,0,0,0,0,0
389.072535459714,1,1,1,1,1,1,1,1,1,1
389.087797436197,1,1,1,1,1,1,1,1,1,1
389.124212180512,1,1,1,1,1,1,1,1,1,1
389.160577607689,1,1,1,1,0,0,1,1,1,1
390.046678420307,0,0,0,0,0,0,0,1,0,0
390.195540058954,1,0,0,0,0,0,0,0,0,0
391.030658021836,1,1,1,1,1,1,1,1,1,1
391.067072181836,1,1,1,1,1,1,1,1,1,0
391.088192582606,1,1,0,0,1,0,0,0,0,0
391.103438396276,1,1,1,1,1,1,1,1,1,1
391.212588728176,0,0,0,0,0,0,1,0,1,0
391.252341293351,0,0,0,1,0,0,0,0,0,0
