ID_scanned,Wet_weight_g_tube.without.cap,Date_time.x,true_wet_weight_g,Weight_dry_g,Date_time.y,true_dry_weight_g,percent_water_content_dry,percent_water_content_wet
ECA2_0019_01_SM,29.61,11/22/20 12:30,22.952,25.92,11/24/20 13:00,19.262,19.1568892119198,16.0770303241547
ECA2_0019_02_SM,46.01,11/22/20 12:30,39.352,39.15,11/24/20 13:00,32.492,21.1128893266035,17.4324049603578
ECA2_0019_03_SM,37.99,11/22/20 12:30,31.332,34.27,11/24/20 13:00,27.612,13.4724033029118,11.8728456530065
ECA2_0019_04_SM,37.5,11/22/20 12:30,30.842,34.64,11/24/20 13:00,27.982,10.2208562647416,9.27306919136243
ECA2_0019_05_SM,38.95,11/22/20 12:30,32.292,36.11,11/24/20 13:00,29.452,9.64280863778352,8.79474792518272
ECA2_0019_06_SM,39.62,11/22/20 12:30,32.962,35.56,11/24/20 13:00,28.902,14.047470763269,12.3172137613009
ECA2_0019_07_SM,42.65,11/22/20 12:30,35.992,38.55,11/24/20 13:00,31.892,12.8558886241064,11.3914203156257
ECA2_0019_08_SM,38.17,11/22/20 12:30,31.512,34.59,11/24/20 13:00,27.932,12.8168408993269,11.3607514597614
ECA2_0019_09_SM,42.62,11/22/20 12:30,35.962,39.73,11/24/20 13:00,33.072,8.7385099177552,8.03626049719148
ECA2_0019_10_SM,29.22,11/22/20 12:30,22.562,25.98,11/24/20 13:00,19.322,16.7684504709657,14.3604290399787
ECA2_0021_01_SM,28.55,10/28/20 10:00,21.892,19.65,NA,12.992,68.5036945812808,40.6541202265668
ECA2_0021_02_SM,36.51,10/28/20 10:00,29.852,28.52,NA,21.862,36.547433903577,26.7653758542141
ECA2_0021_03_SM,35.49,10/28/20 10:00,28.832,29.6,10/30/20 14:30,22.942,25.6734373637869,20.4286903440622
ECA2_0021_04_SM,29.58,10/28/20 10:00,22.922,23.82,NA,17.162,33.5625218506001,25.1286973213507
ECA2_0021_05_SM,29.08,10/28/20 10:00,22.422,19.13,NA,12.472,79.7787042976267,44.3760592275444
ECA2_0021_06_SM,31.13,10/28/20 10:00,24.472,23.16,10/30/20 14:30,16.502,48.2971760998667,32.5678326250409
ECA2_0021_07_SM,31.35,10/28/20 10:00,24.692,27.22,NA,20.562,20.0855947864994,16.7260651223068
ECA2_0021_08_SM,29.07,10/28/20 10:00,22.412,19.65,NA,12.992,72.506157635468,42.0310547920757
ECA2_0021_09_SM,45.98,10/28/20 10:00,39.322,40.66,10/30/20 14:30,34.002,15.6461384624434,13.5293220080362
ECA2_0021_10_SM,38.94,10/28/20 10:00,32.282,33.17,10/30/20 14:30,26.512,21.7637296318648,17.8737376866365
ECA2_0022_01_SM,45.09,11/6/20 16:00,38.432,38.78,11/13/20 16:00,32.122,19.6438577921674,16.4186094920899
ECA2_0022_02_SM,29.58,11/6/20 16:00,22.922,22.03,11/13/20 16:00,15.372,49.1152745251106,32.9377890236454
ECA2_0022_03_SM,37.63,11/6/20 16:00,30.972,31.23,11/13/20 16:00,24.572,26.0459059091649,20.6638253906755
ECA2_0022_04_SM,51.13,11/6/20 16:00,44.472,42.43,11/13/20 16:00,35.772,24.3206977524321,19.5628710199676
ECA2_0022_05_SM,47.56,11/6/20 16:00,40.902,41.49,11/13/20 16:00,34.832,17.4265043638034,14.8403501051293
ECA2_0022_06_SM,47.44,11/6/20 16:00,40.782,41.5,11/11/20 13:30,34.842,17.0483898742896,14.5652493747241
ECA2_0022_07_SM,42.43,11/6/20 16:00,35.772,35.28,11/11/20 13:30,28.622,24.9807840122982,19.9876998769988
ECA2_0022_08_SM,39.94,11/6/20 16:00,33.282,34.9,11/11/20 13:30,28.242,17.8457616316125,15.1433207138994
ECA2_0022_09_SM,48.56,11/6/20 16:00,41.902,39.05,11/11/20 13:30,32.392,29.3591010125957,22.6958140422892
ECA2_0022_10_SM,48.25,11/6/20 16:00,41.592,40.39,11/11/20 13:30,33.732,23.3013162575596,18.8978649740335
ECA2_0023_01_SM,55.7,11/5/20 14:00,49.042,34.5,11/9/20 14:30,27.842,76.1439551756339,43.2282533338771
ECA2_0023_02_SM,60.21,11/5/20 14:00,53.552,39.35,11/9/20 14:30,32.692,63.8076593662058,38.9527935464595
ECA2_0023_03_SM,57.92,11/5/20 14:00,51.262,45.8,11/9/20 14:30,39.142,30.9641816974094,23.6432445086029
ECA2_0023_05_SM,61.48,11/5/20 14:00,54.822,41.98,11/9/20 14:30,35.322,55.2063869543061,35.5696618146
ECA2_0023_08_SM,64.72,11/5/20 14:00,58.062,50.27,11/9/20 14:30,43.612,33.1330826378061,24.8871895559919
ECA2_0023_09_SM,62.54,11/5/20 14:00,55.882,44.9,11/9/20 14:30,38.242,46.1272945975629,31.5665151569378
ECA2_0023_10_SM,61.6,11/5/20 14:00,54.942,42.9,11/9/20 14:30,36.242,51.5975939517687,34.0358923956172
ECA2_0024_03_SM,59.68,11/13/20 16:30,53.022,43.36,11/18/20 11:00,36.702,44.46624162171,30.7796763607559
ECA2_0024_05_SM,64.74,11/13/20 16:30,58.082,47.9,11/18/20 11:00,41.242,40.8321613888754,28.9934919596433
ECA2_0024_06_SM,54.84,11/13/20 16:30,48.182,34.72,11/18/20 11:00,28.062,71.6983821538023,41.7583329874227
ECA2_0024_07_SM,59.6,11/13/20 16:30,52.942,40.09,11/18/20 12:00,33.432,58.3572625029911,36.8516489743493
ECA2_0024_08_SM,56.42,11/13/20 16:30,49.762,40.56,11/18/20 11:00,33.902,46.7819007728158,31.8717093364415
ECA2_0024_09_SM,56.5,11/13/20 16:30,49.842,41.62,11/18/20 11:00,34.962,42.560494250901,29.8543397134946
ECA2_0024_10_SM,49.51,11/13/20 16:30,42.852,26.24,11/18/20 11:00,19.582,118.833622714738,54.3031830486325
ECA2_0026_01_SM,62.52,10/20/20 8:50 AM,55.862,40.48,10/23/20 10:15,33.822,65.1646857075277,39.4543696967527
ECA2_0026_02_SM,62.55,10/20/20 8:50 AM,55.892,39.01,10/23/20 10:15,32.352,72.7621167161227,42.1169398124955
ECA2_0026_03_SM,70.29,10/20/20 8:50 AM,63.632,50.77,10/23/20 10:15,44.112,44.2509974610083,30.6763892381192
ECA2_0026_04_SM,72.83,10/20/20 8:50 AM,66.172,57.83,10/23/20 10:15,51.172,29.3129054951927,22.668198029378
ECA2_0026_05_SM,67.88,10/20/20 8:50 AM,61.222,50.49,10/23/20 10:15,43.832,39.6742106223763,28.4048217960864
ECA2_0026_06_SM,73.96,10/20/20 8:50 AM,67.302,56.84,10/23/20 10:15,50.182,34.1158184209477,25.437579863897
ECA2_0026_07_SM,72.43,10/20/20 8:50 AM,65.772,54.31,10/23/20 10:15,47.652,38.0256862251322,27.5497172048896
ECA2_0026_08_SM,73.37,10/20/20 8:50 AM,66.712,56.31,10/23/20 10:15,49.652,34.3591396116974,25.5726106247752
ECA2_0026_09_SM,80.23,10/20/20 8:50 AM,73.572,66.1,10/23/20 10:15,59.442,23.7710709599273,19.2056760724189
ECA2_0026_10_SM,80.04,10/20/20 8:50 AM,73.382,65.95,10/23/20 10:15,59.292,23.7637455305944,19.2008939521954
ECA2_0027_01_SM,55.76,11/6/20 16:00,49.102,36.63,11/11/20 13:30,29.972,63.8262378219671,38.9597165084925
ECA2_0027_02_SM,65.27,11/6/20 16:00,58.612,47.72,11/11/20 13:30,41.062,42.7402464565779,29.9426738551832
ECA2_0027_03_SM,42.28,11/6/20 16:00,35.622,18.99,11/13/20 16:00,12.332,188.858254946481,65.3809443602268
ECA2_0027_04_SM,47.01,11/6/20 16:00,40.352,33.34,11/13/20 16:00,26.682,51.2330410014242,33.8768834258525
ECA2_0027_05_SM,45.78,11/6/20 16:00,39.122,34.31,11/11/20 13:30,27.652,41.4798206278027,29.3185419968304
ECA2_0027_06_SM,36.98,11/6/20 16:00,30.322,21.07,11/11/20 13:30,14.412,110.394116014432,52.4701536837939
ECA2_0027_07_SM,57.33,11/6/20 16:00,50.672,38.62,11/11/20 13:30,31.962,58.5382641887241,36.9237448689612
ECA2_0027_08_SM,53.25,11/6/20 16:00,46.592,30.86,11/11/20 13:30,24.202,92.5130154532683,48.0554601648352
ECA2_0027_09_SM,49.89,11/6/20 16:00,43.232,25.67,11/13/20 16:00,19.012,127.39322533137,56.0233160621762
ECA2_0027_10_SM,49.87,11/6/20 16:00,43.212,29.68,11/11/20 13:30,23.022,87.6987229606463,46.7231324632047
ECA2_0028_01_SM,53.52,10/28/20 10:00,46.862,40.35,10/30/20 14:30,33.692,39.0893980766948,28.1037941189023
ECA2_0028_02_SM,50.48,10/28/20 10:00,43.822,38.46,NA,31.802,37.79636500849,27.429145178221
ECA2_0028_03_SM,53.98,10/28/20 10:00,47.322,40.26,NA,33.602,40.8309029224451,28.9928574447403
ECA2_0028_04_SM,52.93,10/28/20 10:00,46.272,42.08,NA,35.422,30.6306814973745,23.448305670816
ECA2_0028_05_SM,52.42,10/28/20 10:00,45.762,42.13,10/30/20 14:30,35.472,29.0087956698241,22.4859053363052
ECA2_0028_06_SM,55.18,10/28/20 10:00,48.522,44.93,NA,38.272,26.7819816053512,21.1244383990767
ECA2_0028_07_SM,57.44,10/28/20 10:00,50.782,45.02,NA,38.362,32.3757885407434,24.4574849356071
ECA2_0028_08_SM,57.44,10/28/20 10:00,50.782,45.4,NA,38.742,31.0773837179289,23.7091882950652
ECA2_0028_09_SM,49.07,10/28/20 10:00,42.412,39.28,NA,32.622,30.0104224143216,23.0830896915967
ECA2_0028_10_SM,54.88,10/28/20 10:00,48.222,42.83,10/30/20 14:30,36.172,33.3130598252792,24.9885944174858
ECA2_0029_01_SM,43.85,11/6/20 16:00,37.192,22.89,11/11/20 13:30,16.232,129.127649088221,56.3562056356206
ECA2_0029_02_SM,47.07,11/6/20 16:00,40.412,20.66,11/11/20 13:30,14.002,188.61591201257,65.3518756804909
ECA2_0029_03_SM,49.32,11/6/20 16:00,42.662,32.69,11/11/20 13:30,26.032,63.8829133374309,38.9808260278468
ECA2_0029_04_SM,50.16,11/6/20 16:00,43.502,33.46,11/11/20 13:30,26.802,62.3087829266473,38.3890395843869
ECA2_0029_05_SM,45.42,11/6/20 16:00,38.762,29.82,11/11/20 13:30,23.162,67.351696744668,40.2456013621588
ECA2_0029_06_SM,55.78,11/6/20 16:00,49.122,34.79,11/11/20 13:30,28.132,74.6125408787146,42.7303448556655
ECA2_0029_07_SM,44.68,11/6/20 16:00,38.022,18.61,11/13/20 16:00,11.952,218.122489959839,68.5655673031403
ECA2_0029_08_SM,40.58,11/6/20 16:00,33.922,19.58,11/11/20 13:30,12.922,162.513542795233,61.9067271976888
ECA2_0029_09_SM,56.77,11/6/20 16:00,50.112,33.76,11/11/20 13:30,27.102,84.9014832853664,45.9171455938697
ECA2_0029_10_SM,48.84,11/6/20 16:00,42.182,32.09,11/13/20 16:00,25.432,65.8619062598301,39.70888056517
ECA2_0033_01_SM,69.29,11/5/20 14:00,62.632,54.92,11/9/20 14:30,48.262,29.7749782437529,22.9435432366841
ECA2_0033_02_SM,67.4,11/5/20 14:00,60.742,54.48,11/9/20 14:30,47.822,27.016854167538,21.270290737875
ECA2_0033_03_SM,63.34,11/5/20 14:00,56.682,50.21,11/9/20 14:30,43.552,30.1478692138134,23.1643202427578
ECA2_0033_04_SM,55.88,11/5/20 14:00,49.222,36.76,11/9/20 14:30,30.102,63.5173742608465,38.8444191621633
